"Freq [GHz]","im(S(1,1)) []","re(S(1,1)) []","im(S(2,1)) []","re(S(2,1)) []"
3,-0.198081914230505,0.916700365656059,-0.290444196463522,-0.0789599624288397
3.1,-0.249495416633055,0.874263741525694,-0.336761839451627,-0.121853944018826
3.2,-0.312899540799922,0.794398233933135,-0.395297184061333,-0.202131116813429
3.3,-0.368478967031058,0.633568806596685,-0.446212352747329,-0.363331716617975
3.4,-0.293278933456882,0.345078117165788,-0.366532454412881,-0.652157535781452
3.5,0.115019006207698,0.186518981317482,0.0460790092127734,-0.811019568389438
3.6,0.417068486526079,0.446813374080766,0.352291915790069,-0.550999112071065
3.7,0.427369284310197,0.691082675952103,0.366620751756645,-0.306977632515721
3.8,0.368276129456056,0.81812296941515,0.311433645945709,-0.180161497610849
3.9,0.311718661108715,0.883435312750871,0.258672487237025,-0.115051761161974
4,0.26679537406745,0.919839949819497,0.217447029542013,-0.0788300049031401
4.1,0.231779254025057,0.941828735636207,0.186040664866542,-0.0570059506277065
4.2,0.20407885163464,0.956020809003701,0.161871616871638,-0.0429618185222838
4.3,0.181685510831555,0.965680382354057,0.142940274414839,-0.0334345631901556
4.4,0.163186720252314,0.97254156331441,0.127842636655694,-0.0266910736108423
4.5,0.147600611276106,0.977586877655697,0.115604895397355,-0.0217496679909504
4.6,0.134236518372126,0.981404108411037,0.105544072149894,-0.0180232692265951
4.7,0.122599389222901,0.984361367158481,0.0971724989425825,-0.0151443453893299
4.8,0.112327114183595,0.986698314179353,0.0901352138225452,-0.0128736988425322
4.9,0.103149535127222,0.988576238621896,0.0841690323339264,-0.0110503930986354
5,0.0948613095007276,0.990106826462507,0.0790754719561343,-0.00956298979585313
5.1,0.0873036359495179,0.991369349505058,0.074702536958443,-0.00833236266131365
5.2,0.0803517166018868,0.992421295378019,0.0709322398429824,-0.00730106854807211
5.3,0.0739059941044301,0.993305143063494,0.067671898562956,-0.00642657099906963
5.4,0.0678859163489737,0.994052798399974,0.0648479636029445,-0.00567680182103203
5.5,0.0622254234427828,0.99468856717553,0.0624015707083885,-0.00502718290843518
5.6,0.056869627662488,0.995231190178542,0.0602852913722924,-0.00445858373010921
5.7,0.0517723325146577,0.995695262197463,0.0584607287532417,-0.00395589217615733
5.8,0.046894150204917,0.996092237594712,0.0568967201213481,-0.00350699571946889
5.9,0.0422010510262796,0.996431152787797,0.0555679814584339,-0.00310204200261777
6,0.0376632275711365,0.996719151111669,0.0544540796448938,-0.00273289264887899
6.1,0.0332541899959519,0.996961867062206,0.05353865152733,-0.00239271235106697
6.2,0.0289500313059355,0.997163708449793,0.0528088125856336,-0.00207565347859451
6.3,0.0247288172619892,0.997328062743266,0.0522547144468071,-0.0017766083187738
6.4,0.0205700662821855,0.997457445565331,0.0518692224181018,-0.00149100889269466
6.5,0.0164542920620874,0.997553603482838,0.0516476930735787,-0.0012146594405828
6.6,0.0123625865041084,0.99761757900411,0.0515878387751142,-0.000943590005199946
6.7,0.00827622351605201,0.997649742438303,0.0516896716007995,-0.000673921571156866
6.8,0.00417626564344446,0.997649792554249,0.0519555240496177,-0.000401734239074469
6.9,4.31555069763844E-005,0.997616725451114,0.0523901486003344,-0.000122930066184439
7,-0.00414372741165375,0.997548768408364,0.0530009031524294,0.000166918504351229
7.1,-0.00840656712696818,0.997443272372354,0.0537980350946142,0.000472745397381652
7.2,-0.0127696961870474,0.997296552728065,0.0547950838357445,0.000800206579276347
7.3,-0.0172603006537432,0.997103662481671,0.0560094309326652,0.0011559531323263
7.4,-0.0219092917726303,0.996858074009482,0.0574630396531267,0.00154798759713487
7.5,-0.0267524080178421,0.9965512336307,0.0591834437012363,0.00198614090569105
7.6,-0.0318316362611576,0.996171935007125,0.0612050706432118,0.0024827251441355
7.7,-0.0371970782548778,0.995705428670107,0.063571023599856,0.00305344582690958
7.8,-0.0429094452909918,0.995132138740404,0.0663355019114783,0.00371870339655889
7.9,-0.0490434510528404,0.994425781540395,0.0695671290058248,0.00450548987130439
8,-0.055692509095312,0.993550551219767,0.0733535924156181,0.00545021601529938
8.1,-0.0629753590281509,0.992456811067871,0.0778082187677383,0.00660303075335156
8.2,-0.0710455996348467,0.991074320315177,0.0830794609132456,0.00803460333968342
8.3,-0.0801056949018563,0.989301260553107,0.0893648622602062,0.00984710439262937
8.4,-0.0904280116354044,0.986985832041476,0.0969320561916251,0.0121926157027668
8.5,-0.102387143323861,0.983894137259384,0.106151054520365,0.0153052515691101
8.6,-0.116510658608902,0.979651492617958,0.117544962698922,0.0195598507722181
8.7,-0.133560074578558,0.973629267971603,0.131870921383085,0.0255851394397268
8.8,-0.154659886815551,0.964712538887323,0.150249105674125,0.0344960794587656
8.9,-0.181491376064567,0.950786722360313,0.174356501325624,0.048407230676327
9,-0.216500906739045,0.927504995914035,0.206635172995737,0.0716653239692544
9.1,-0.2625697376379,0.885072414968576,0.24996204806141,0.11406512160848
9.2,-0.318250878406422,0.799621019871804,0.302885774974657,0.199474249557525
9.3,-0.344300402830612,0.618618954177309,0.326158231456366,0.3804239719911
9.4,-0.149468614829821,0.361001391716407,0.128526452425518,0.637978919962903
9.5,0.229488243704012,0.443469301015729,-0.253258214427447,0.555440603579639
9.6,0.311808717468103,0.697134680125117,-0.338442506791258,0.301695538644466
9.7,0.265408013343171,0.83519469807192,-0.294945663768453,0.163544077376454
9.8,0.212932922608908,0.900826011582618,-0.245419015595316,0.0978092449670678
9.9,0.171554929850443,0.934782240258847,-0.207039602473281,0.0637370101683561
10,0.139987914790777,0.954115016334196,-0.17852733657666,0.0442750641870346
10.1,0.115456940428554,0.966015549440103,-0.157113724410291,0.0322313333063642
10.2,0.0958575600443689,0.973798964380241,-0.140701215970566,0.0242896655888034
10.3,0.0797624090891087,0.979134187657363,-0.127869861354095,0.0187799411279483
10.4,0.0662109588155518,0.982926833186718,-0.11766713957797,0.0147951709121686
10.5,0.0545453814541976,0.985699775453679,-0.109443909231886,0.0118109010856812
10.6,0.0443040893566295,0.987770771656589,-0.102748045355863,0.00950756226721938
10.7,0.0351548861328975,0.989341290874518,-0.0972577032013628,0.00768160560085163
10.8,0.0268527278014798,0.9905436382661,-0.0927392100412508,0.00619833649476037
10.9,0.0192125318806846,0.991467245348858,-0.089020026724139,0.00496557340671575
11,0.0120912733543266,0.992173981902631,-0.0859710224669433,0.00391827398762359
11.1,0.00537591423187566,0.992707407533947,-0.0834946151882302,0.00300920775238973
11.2,-0.00102492913454763,0.993098537884801,-0.0815166884411574,0.00220309668338481
11.3,-0.00718687756095606,0.993369531264653,-0.0799809969539522,0.00147281331200119
11.4,-0.0131740592718348,0.993536091429092,-0.0788452516686905,0.000796834465680824
11.5,-0.0190422896647053,0.993609050881294,-0.0780783671459278,0.00015747831133156
11.6,-0.0248415130925376,0.993595412279387,-0.0776585362707652,-0.000460363475533132
11.7,-0.0306177476831269,0.993499016302205,-0.0775719136489732,-0.0010701809314308
11.8,-0.0364147040644962,0.993320937831566,-0.077811765860365,-0.00168460941739523
11.9,-0.042275205092355,0.993059669694143,-0.078377999405353,-0.00231608702696529
12,-0.0482425075013912,0.992711123754142,-0.0792770153952925,-0.00297747174236496
12.1,-0.0543616127852368,0.992268456317951,-0.0805218700990901,-0.00368267589536408
12.2,-0.0606806509113678,0.991721704091528,-0.0821327468329023,-0.00444737588241995
12.3,-0.067252425770689,0.991057194528591,-0.0841377709660581,-0.00528986401679843
12.4,-0.0741362260569005,0.990256666249459,-0.0865742294542007,-0.00623212848485144
12.5,-0.0814000315475747,0.989295995884442,-0.0894902932054196,-0.00730128049254564
12.6,-0.0891232862911151,0.988143368962457,-0.0929473897946096,-0.00853150211364806
12.7,-0.09740047321392,0.986756640785297,-0.0970234426554271,-0.00996677700009663
12.8,-0.106345818879555,0.985079485291812,-0.101817291220929,-0.0116648118904905
12.9,-0.116099597299369,0.98303568418398,-0.107454749706613,-0.013702801025727
13,-0.126836709289931,0.980520488670404,-0.114096972098867,-0.0161861043601963
